name;count
"ВОЗ РЕШЕТКА З Л";"0,00"
"БАГАЖНАЯ КРЫШКА";"0,00"
"ОБЛ ПР БАГАЖНИКА";"0,00"
"СТЕКЛО ДВЕРИ З Л";"0,00"
"ПРАЙМЕР ЗАДН СТЕКЛО";"0,00"
"СТ-ПОДЪЕМНИК З ПР";"0,00"
"УСИЛ РАМА КРЫШ Л ВНУ";"0,00"
"ОТРАЖАТЕЛЬ Л";"0,00"
"ТОПЛИВНЫЙ ФИЛЬТР";"0,00"
"УПЛ К-ЦО КРЫШКИ БАГ";"0,00"
"ВОДОСТОЧН КАНАЛ З Л";"0,00"
"К-Т КЛЕЯ ОКНО БОК ПР";"0,00"
АПЛИКАТОР;"0,00"
"К-Т КЛЕЯ ОКНО БОК Л";"0,00"
"КРЕПЛ АМ СТОЙКИ З ПР";"0,00"
"ОБЛ АРКИ КОЛЕСА З Л";"0,00"
"ОБЛ АРКИ КОЛЕСА З ПР";"0,00"
"ПОДКРЫЛОК ВНУ ПР";"0,00"
"ДЕРЖ ПАНЕЛЬ ПОЛ З ПР";"0,00"
"СОЕДИН БОК Ч ВНУ ПР";"0,00"
"ЛЮЧОК Т/БАКА";"0,00"
"ЗАГЛУШ ЛОНЖЕРОН З ПР";"0,00"
"БУКСИРН КРЮК З";"0,00"
"СТ-ПОДЪЕМНИК З Л";"0,00"
"ВОЗ РЕШЕТКА З ПР";"0,00"
"НАПРАВЛ ПР БАМПЕРА З";"0,00"
"МОЛДИНГ ПР БАМПЕРЗ";"0,00"
"КРЫШКА БАГАЖНИКА";"0,00"
"ЛОНЖЕРОН З Л В";"0,00"
"СОЕДИНИТ БОК Ч ВНУ ПР";"0,00"
"АКТИВАТОР БОК СТЕКЛО";"0,00"
"ЗАКРЫВ ПАНЕЛЬ З";"0,00"
"УСИЛИТ БОК Ч ПР ВНУ";"0,00"
"НАКЛ РУЧКА З ВНУ Л";"0,00"
"ДЕРЖ ПАНЕЛЬ ПОЛА З Л";"0,00"
"ЗАГЛУШ ЛОНЖЕРОН З Л";"0,00"
"МОЛДИНГ БАМПЕРА З";"0,00"
"ПОПЕР ЗАДНИЙ ОТСЕК";"0,00"
"ЗАМОК КРЫШКИ БАГАЖ";"0,00"
"НАКЛ РУЧКА З ВНУ ПР";"0,00"
"ОБЛИЦ Л БАГАЖНИКА";"0,00"
"СТЕКЛО ДВЕРИ З ПР";"0,00"
"АБСОРБЕР БАМПЕРА 3";"0,00"
"ВОДОСТОЧН КАНАЛ ЗЛ";"0,00"
"СКОБА СУППОРТА З Л";"0,00"
"ФИКСАТОР ДВЕРИ З ПР";"0,00"
"ЭЛ-ДВ СТ-ПОДЪЁМ З ПР";"0,00"
"ЭМБЛЕМА ""POLO""";"0,00"
"К-Т КЛЕЯ Д/СТЕКЛА З";"0,00"
"ОЧИЩАЮЩИЙ РАСТВОР";"0,00"
"РУЧКА ДВЕРИ НАР З ПР";"0,00"
"БОКОВ СТЕКЛО З Л";"0,00"
"ГРУНТОВКА БОК СТЕКЛО";"0,00"
"НАПРАВЛ Л БАМПЕРА З";"0,00"
"ОБЛИЦ С-СТОЙКИ Л";"0,00"
"ФОНАРЬ НОМЕР ЗНАК ПР";"0,00"
"МОЛД Л БАМПЕР З";"0,00"
"КОЖУХ К/АРК З НАР ПР";"0,00"
"УДЛИН ЛОНЖЕР З Л";"0,00"
"ДАТЧ УР ТОПЛ/ТОП НАС";"0,15"
АДСОРБЕР;"0,21"
"БОКОВИНА ВНУ Л Н";"0,30"
"КОЛЁСНЫЙ ДИСК З ПР";"0,37"
"ШАРНИР ПР КРЫШКИ БАГ";"0,37"
"ШАРНИР Л КРЫШКИ БАГ";"0,37"
"ТОРМОЗНОЙ ДИСК З ПР";"0,55"
"ПОПЕРЕЧ ПР ПАН ПОЛА";"0,60"
"ПОПЕРЕЧ Л ПАН ПОЛА";"0,61"
"ПАНЕЛЬ КРЕПЛ З ПР";"0,67"
"ПАНЕЛЬ КРЕПЛ З Л";"0,68"
"УСИЛ С-СТ ВНУТР ПР В";"0,80"
"ГАБ ФОНАРЬ З ПР В СБ";"0,81"
"УСИЛ С-СТ ВНУТР Л В";"0,82"
"ОБЛ ЩИТКА ЗАДКА";"0,94"
"УПЛ ВНУТ ДВЕРЬ З Л";"1,07"
"ЗАМОК ДВЕРИ З ПР";"1,31"
"СУППОРТ З ПР";"1,42"
"КОЖУХ К/АРКИ З НАР Л";"1,60"
"ТОРМОЗНОЙ ДИСК З Л";"2,04"
"ВОДОСТОЧН КАНАЛ З ПР";"2,06"
"СОЕДИНИТ ПАНЕЛЬЗЛ";"2,16"
"ПАН КРЕП ФОНАРЯ З ПР";"2,27"
"ПАН КРЕП ФОНАРЯ З Л";"2,40"
ПОДКРЫЛОКЗЛ;"2,91"
"БОКОВИНА З ВНУ ПР";"2,96"
"ЛОНЖЕРОН З ПР В СБ";"2,99"
"БОКОВИНА З ВНУ Л";"3,14"
"ТОРМОЗНОЙ ДИСКЗЛ";"3,40"
"ОБЛИЦОВКА ДВЕРИ З ПР";"3,41"
"АМОРТИЗАТОР З Л";"3,60"
"ПОДКРЫЛОК ВНУЛ";"3,68"
"УСИЛИТ З ПАНЕЛЬ ПОЛА";"3,83"
"ПОПЕР ПОЛ БАГАЖНИКА";"3,85"
"ПОДКРЫЛОК З ПР";"4,74"
"ОБЛИЦОВКА ДВЕРИ ЗЛ";"5,00"
"ШАРНИР Н ДВЕРЬЗ ПР";"5,36"
"ШАРНИР В ДВЕРЬЗЛ";"5,36"
"ШАРНИР Н ДВЕРЬЗЛ";"6,00"
"ШАРНИР В ДВЕРЬЗ ПР";"6,00"
"ЗАДН СТЕНКА ВЕР";"6,06"
"КОЛЁСНЫЙ ДИСК З Л";"6,27"
"ПОЛ БАГАЖНИКА П";"6,84"
"СУППОРТ З Л";"7,73"
"ЩИТОК ЗАДКА НИЖ";"13,75"
"ОБЛИЦОВКА БАМПЕРА З";"15,76"
"БАЛКА МОСТА З";"21,22"
"РЕМЕНЬ БЕЗОПАСН З СР";"21,96"
"ТОПЛИВНЫЙ БАК";"24,50"
"БОКОВАЯ РАМА Л В СБ";"31,49"
"БОКОВАЯ РАМА ПР В СБ";"38,64"
"ПОЛ БАГАЖНИКА З";"42,39"
"ДВЕРЬЗ ПР";"73,17"
ДВЕРЬЗЛ;"73,69"
"ЩИТОК ЗАДКА";"80,01"
